name,isosig,finite,fillings,betti
X_130,lLLLAwMQcbedfghjjkkjkxxjiixxcsfkn_bBba,[],"{(0, 1): 'm003(-1, 3)', (1, 2): 'o9_41337(-4, 1)', (-1, 1): 's493(5, 1)', (-1, 2): 'o9_39952(4, 1)', (-2, 1): 't11188(-5, 1)', (2, 1): 'o9_39706(1, 4)', (1, 1): 'v2200(-1, 4)'}",1
X_131,lLLLAzPQcacfegihjjikkjkgrkixbkwkn_baab,"[(1, 0)]","{(1, 2): 'o9_28711(2, 5)', (-1, 1): 'm349(1, 3)', (3, 1): 't12627(5, 2)', (3, 2): 'o9_40166(-5, 2)', (-1, 2): 't11063(-5, 3)', (-2, 1): 't10524(-3, 2)', (2, 1): 'v3433(-5, 2)', (-3, 1): 'o9_37388(-5, 2)', (1, 0): 'finite', (4, 1): 'o9_41036(-5, 2)'}",1
X_132,lLLLLAAQcbcgfihgjkikklougoonhhkrw_BaaB,[],"{(0, 1): 'm168(2, 3)', (-2, 1): 'o9_34305(-1, 3)', (1, 1): 'o9_39468(-2, 1)'}",1
X_133,lLLLLAPQcacfghfihjkkkjkgjqsmjbbwr_baab,[],"{(-2, 1): 'o9_33117(3, 2)', (-1, 2): 'o9_42075(2, 3)', (1, 1): 't09330(-2, 5)', (2, 1): 'o9_43512(3, 2)'}",1
X_134,lLLLLAPQcacfghfihjkkknkgjqsmjbbwr_abBb,"[(1, 0)]","{(1, 0): 'finite', (-2, 1): 'o9_32044(3, 2)', (-1, 2): 'o9_42075(1, 3)', (1, 1): 't09330(-1, 4)', (2, 1): 'o9_43512(3, 1)'}",1
X_135,lLLLLAPQcacfghfihkjkkjkgjqsmjkvvw_baab,"[(1, 0)]","{(1, 2): 'o9_35888(-5, 2)', (-2, 1): 't08114(3, 2)', (3, 1): 'o9_41816(5, 2)', (-1, 2): 't10088(-5, 3)', (2, 1): 't12402(5, 2)', (-3, 1): 'o9_38231(3, 2)', (1, 0): 'finite', (1, 1): 'v2302(5, 2)'}",1
X_136,lLLLLAQMccegeghihjikkquqtrvfkeshj_abBa,[],"{(1, 2): 't12530(3, 4)', (-2, 1): 'o9_31228(4, 3)', (3, 1): 'o9_41816(4, 3)', (-1, 2): 'o9_36396(4, 3)', (3, 2): 'o9_43574(4, 3)', (2, 1): 't11043(-4, 1)', (1, 3): 'o9_43468(-3, 4)', (2, 3): 'o9_43854(4, 3)', (1, 1): 'm193(1, 4)'}",1
X_137,lLLLLAQMccegeghihjikkquqtrvfkeshw_bBab,[],"{(1, 3): 'o9_43468(-3, 5)', (3, 2): 'o9_43574(5, 3)', (3, 1): 'o9_41816(5, 3)', (2, 3): 'o9_43854(5, 3)', (2, 1): 't11240(-2, 3)'}",1
X_138,lLLLLAQMccegeghihjikkquqtrvfkesxj_bBab,[],"{(1, 2): 't12530(1, 4)', (-1, 1): 's534(-5, 1)', (3, 1): 'o9_41816(4, 1)', (3, 2): 'o9_43574(4, 1)', (-1, 2): 'o9_36396(4, 1)', (-2, 1): 'o9_28250(-3, 2)', (2, 1): 't11240(-3, 1)', (1, 3): 'o9_43468(-1, 4)', (2, 3): 'o9_43854(4, 1)'}",1
X_139,lLLLLAQMccegeghihjikkquqtrvfkesxn_bBab,[],"{(1, 2): 't12530(2, 5)', (-2, 1): 'o9_31228(5, 2)', (1, 3): 'o9_43468(-2, 5)', (3, 1): 'o9_41816(5, 2)', (3, 2): 'o9_43574(5, 2)', (2, 1): 't11240(-3, 2)', (2, 3): 'o9_43854(5, 2)'}",1
X_140,lLLLLAQMccegeghihjikkquqtrvfkewhj_bBab,[],"{(1, 2): 't11956(3, 4)', (-1, 1): 'm162(5, 3)', (3, 1): 'o9_41820(4, 3)', (3, 2): 'o9_43193(-3, 4)', (-1, 2): 't11140(4, 3)', (-2, 1): 'o9_31755(4, 3)', (2, 1): 't11440(3, 1)', (1, 3): 'o9_41902(-3, 4)', (2, 3): 'o9_43239(-3, 4)', (1, 1): 'm182(1, 4)'}",1
X_141,lLLLLAQMccegeghihjikkquqtrvfkewhw_bBab,[],"{(-1, 1): 'm175(5, 3)', (1, 3): 'o9_41902(-3, 5)', (3, 1): 'o9_41820(5, 3)', (3, 2): 'o9_43193(-3, 5)', (2, 1): 't11440(3, 2)', (2, 3): 'o9_43239(-3, 5)', (-2, 1): 'o9_31755(5, 3)'}",1
X_142,lLLLLAQMccegeghihjikkquqtrvfkewxj_bBab,[],"{(1, 2): 't11956(1, 4)', (-2, 1): 'o9_31755(4, 1)', (3, 1): 'o9_41820(4, 1)', (-1, 2): 't11140(4, 1)', (3, 2): 'o9_43193(-1, 4)', (2, 1): 't11440(1, 3)', (1, 3): 'o9_41902(-1, 4)', (2, 3): 'o9_43239(-1, 4)'}",1
